num_posto,num_ssis,nom_ssis,nom_posto,bin_ena,val_produt
1,1,SE,CAMARGOS,1,0.2001
2,1,SE,ITUTINGA,1,0.2402
6,1,SE,FURNAS,1,0.8107
7,1,SE,M.MORAES,1,0.367
8,1,SE,ESTREITO,1,0.5448
9,1,SE,JAGUARA,1,0.3931
10,1,SE,IGARAPAVA,1,0.1546
11,1,SE,"VOLTA GRANDE",1,0.2476
12,1,SE,P.COLOMBIA,1,0.2008
14,1,SE,CACONDE,1,0.816
15,1,SE,E.CUNHA,1,0.7511
16,1,SE,A.S.OLIVEIRA,1,0.2284
17,1,SE,MARIMBONDO,1,0.5058
18,1,SE,A.VERMELHA,1,0.4618
22,1,SE,BATALHA,1,0.3534
23,1,SE,"CORUMBA III",1,0.3557
24,1,SE,EMBORCACAO,1,1.1607
25,1,SE,"NOVA PONTE",1,0.9651
28,1,SE,"C. BRANCO 2",1,0.4155
31,1,SE,ITUMBIARA,1,0.7011
32,1,SE,C.DOURADA,1,0.2657
33,1,SE,"SAO SIMAO",1,0.6337
34,1,SE,"ILHA SOLTEIRA",1,0.3856
37,1,SE,"BARRA BONITA ARTFICIAL",1,0.1769
38,1,SE,"BARIRI ARTIFICIAL",1,0.1873
39,1,SE,"IBITINGA ARTIFICIAL",1,0.1763
40,1,SE,"PROMISSAO ARTIFICIAL",1,0.2128
42,1,SE,"NOVA NAVANHADAVA ARTIFICIAL",1,0.2799
43,1,SE,"TRES IRMAOS",1,0.4003
45,1,SE,JUPIA,1,0.1766
46,1,SE,P.PRIMAVERA,1,0.1711
47,1,SE,JURUMIRIM,1,0.2843
48,1,SE,PIRAJU,1,0.2306
49,1,SE,CHAVANTES,1,0.6164
50,1,SE,L.N.GARCEZ,1,0.149
51,1,SE,"CANOAS II",1,0.13
52,1,SE,"CANOAS I",1,0.1501
61,1,SE,CAPIVARA,1,0.3714
62,1,SE,TAQUARUCU,1,0.2233
63,1,SE,ROSANA,1,0.1844
66,1,SE,ITAIPU,1,1.0279
99,1,SE,ESPORA,1,0.402
104,1,SE,TRIACAO,0,0
109,1,SE,PEDREIRA,0,0
116,1,SE,PEDRAS,0,0
117,1,SE,GUARAPIRANGA,0,0
118,1,SE,BILLINGS,0,0
119,1,SE,"BILL. + PEDRAS",0,0
120,1,SE,JAGUARI,1,0.5133
121,1,SE,PARAIBUNA,1,0.7033
122,1,SE,"STA. BRANCA",1,0.3574
123,1,SE,FUNIL,1,0.5618
125,1,SE,STA.CECILIA,0,0
126,1,SE,"SIMPLICIO Artificial",1,0.9334
127,1,SE,ANTA,0,0
129,1,SE,ANTA,0,0
130,1,SE,I.POMBOS,0,0
131,1,SE,N.PECANHA,1,2.633
132,1,SE,"LAJES ARTIFICIAL",0,0
134,1,SE,"SALTO GRANDE",1,0.7691
141,1,SE,BAGUARI,1,0.1669
144,1,SE,MASCARENHAS,1,0.1958
145,1,SE,"RONDON II",1,0.5343
148,1,SE,AIMORES,1,0.2543
149,1,SE,CANDONGA,1,0.4146
154,1,SE,"Sao Domingos",0,0.3055
155,1,SE,"RETIRO BAIXO",1,0.322
156,1,SE,"TRES MARIAS",1,0.4365
158,1,SE,QUEIMADO,1,1.6415
160,1,SE,"PONTE NOVA",0,0
161,1,SE,E.S.PINHEIROS,0,0
164,1,SE,E.SOUZA,0,0
183,1,SE,"SA CARVALHO",1,0.9246
191,1,SE,"CANA BRAVA",1,0.3854
196,1,SE,ROSAL,1,1.6869
197,1,SE,PICADA,1,1.1593
198,1,SE,SOBRAGI,1,0.7165
201,1,SE,TOCOS,0,0
202,1,SE,LAJES,0,0
203,1,SE,SANTANA,0,0
205,1,SE,"CORUMBA IV",1,0.6226
206,1,SE,MIRANDA,1,0.6204
207,1,SE,"C. BRANCO 1",1,0.498
209,1,SE,"CORUMBA I",1,0.6254
211,1,SE,"FUNIL GRANDE",1,0.3501
225,1,SE,"SALTO APIACAS",0,0
227,1,SE,SINOP,0,0.2353
228,1,SE,COLIDER,0,0.2039
229,1,SE,"TELES PIRES",1,0.494
230,1,SE,"SAO MANOEL",1,0.2179
237,1,SE,"B. BONITA NATURAL",0,0
238,1,SE,BARIRI,0,0
239,1,SE,"IBITINGA NATURAL",0,0
240,1,SE,PROMISSAO,0,0
241,1,SE,S.R.VERDINHO,1,0.3741
242,1,SE,"NOVA NAVANHANDAVA",0,0
243,1,SE,"TRES IRMAOS",0,0
244,1,SE,"ILHA SOLTEIRA EQUIVALENTE",0,0
245,1,SE,JUPIA,0,0
246,1,SE,P.PRIMAVERA,0,0
247,1,SE,CACU,1,0.2447
248,1,SE,"B. COQUEIROS",1,0.3212
249,1,SE,OURINHOS,1,0.937
251,1,SE,"S. FACAO",1,0.643
252,1,SE,"ITIQUIRA II",1,1.2251
253,1,SE,"SAO SALVADOR",1,0.2133
255,1,SE,IRAPE,1,1.4679
257,1,SE,"PEIXE ANGICAL",1,0.2376
259,1,SE,"ITIQUIRA I",1,0.7696
261,1,SE,"FOZ RIO CLARO",1,0.2383
262,1,SE,"G.AMORIM GUILMAN",1,0.10242
263,1,SE,"PORTO ESTRELA",1,0.4124
266,1,SE,ITAIPU,0,0
270,1,SE,"S. MESA",1,1.041
273,1,SE,LAJEADO,1,0.3079
278,1,SE,MANSO,1,0.5103
279,1,SE,SAMUEL,1,0.2782
281,1,SE,P.PEDRA,1,2.2043
283,1,SE,"STA.CLARA MG",1,0.4464
285,1,SE,JIRAU,1,0.1522
287,1,SE,"SANTO ANTONIO",1,0.1601
