num_posto,dat_medicao,val_vaz_natr
1,2019-01-01,112.798
211,2019-01-01,377.788
6,2019-01-01,893.29
7,2019-01-01,1079.36
8,2019-01-01,1131.94
9,2019-01-01,1157.93
10,2019-01-01,1218.12
11,2019-01-01,1322.74
12,2019-01-01,1516.15
14,2019-01-01,52.6334
15,2019-01-01,90.5643
16,2019-01-01,93.9875
17,2019-01-01,2071.07
18,2019-01-01,2200.89
22,2019-01-01,168.111
251,2019-01-01,261.547
24,2019-01-01,672.574
25,2019-01-01,449.41
206,2019-01-01,464.037
207,2019-01-01,467.463
28,2019-01-01,472.42
205,2019-01-01,89.89
23,2019-01-01,129.324
209,2019-01-01,429.953
31,2019-01-01,1882.48
32,2019-01-01,1896.32
33,2019-01-01,2726.91
99,2019-01-01,90.6321
247,2019-01-01,465.748
248,2019-01-01,471.553
261,2019-01-01,452.516
294,2019-01-01,291.734
241,2019-01-01,268.486
118,2019-01-01,10.209
117,2019-01-01,16.4965
161,2019-01-01,117.711
237,2019-01-01,217.723
238,2019-01-01,301.131
239,2019-01-01,414.16
240,2019-01-01,532.604
242,2019-01-01,561.908
243,2019-01-01,611.681
47,2019-01-01,111.388
48,2019-01-01,121.414
49,2019-01-01,197.561
249,2019-01-01,206.778
50,2019-01-01,305.595
51,2019-01-01,317.909
52,2019-01-01,338.46
57,2019-01-01,93.3095
61,2019-01-01,753.838
62,2019-01-01,834.734
63,2019-01-01,1003.31
34,2019-01-01,5462.92
245,2019-01-01,6475.43
154,2019-01-01,183.373
246,2019-01-01,7068.95
266,2019-01-01,9449.06
74,2019-01-01,281.546
76,2019-01-01,372.855
71,2019-01-01,50.0403
72,2019-01-01,54.3921
73,2019-01-01,71.3894
77,2019-01-01,491.759
78,2019-01-01,518.32
222,2019-01-01,621.652
81,2019-01-01,892.305
215,2019-01-01,101.687
89,2019-01-01,146.487
216,2019-01-01,176.545
217,2019-01-01,394.197
92,2019-01-01,603.074
93,2019-01-01,47.3291
220,2019-01-01,81.4854
94,2019-01-01,885.791
286,2019-01-01,72.596
102,2019-01-01,249.924
103,2019-01-01,261.155
110,2019-01-01,39.3091
111,2019-01-01,225.21
112,2019-01-01,228.193
113,2019-01-01,272.322
114,2019-01-01,315.37
98,2019-01-01,45.294
97,2019-01-01,99.9284
284,2019-01-01,109.51
115,2019-01-01,8.7556
101,2019-01-01,39.2865
278,2019-01-01,285.146
259,2019-01-01,90.3591
281,2019-01-01,88.5096
295,2019-01-01,80.8462
121,2019-01-01,46.702
122,2019-01-01,55.4403
120,2019-01-01,19.3637
123,2019-01-01,176.066
125,2019-01-01,238.302
197,2019-01-01,47.2471
198,2019-01-01,79.2349
129,2019-01-01,531.825
130,2019-01-01,597.66
201,2019-01-01,7.19843
202,2019-01-01,2.92594
262,2019-01-01,195.209
183,2019-01-01,215.712
134,2019-01-01,300.085
263,2019-01-01,324.504
149,2019-01-01,363.196
